INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por tamaño de localidad, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 7
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Tamaño de localidad;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;500-999 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;8.008;7.125;4.299;2.455;215;156;839;44
14 Jalisco;500-999 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);1.478;1.403;468;921;11;3;70;5
14 Jalisco;500-999 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;541;319;181;127;9;2;211;11
14 Jalisco;500-999 habitantes;Disponen de energía eléctrica;Agua de pipa;515;469;186;276;5;2;42;4
14 Jalisco;500-999 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;1.729;1.470;692;650;35;93;241;18
14 Jalisco;500-999 habitantes;Disponen de energía eléctrica;No especificado;69;47;30;17;0;0;12;10
14 Jalisco;500-999 habitantes;No disponen de energía eléctrica;Total;719;358;125;216;7;10;345;16
14 Jalisco;500-999 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;215;137;72;58;3;4;76;2
14 Jalisco;500-999 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;200;96;28;64;1;3;100;4
14 Jalisco;500-999 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);29;15;2;12;1;0;12;2
14 Jalisco;500-999 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;95;31;12;18;1;0;62;2
14 Jalisco;500-999 habitantes;No disponen de energía eléctrica;Agua de pipa;52;36;2;33;1;0;15;1
14 Jalisco;500-999 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;119;39;6;30;0;3;75;5
14 Jalisco;500-999 habitantes;No disponen de energía eléctrica;No especificado;9;4;3;1;0;0;5;0
14 Jalisco;500-999 habitantes;No especificado;Total;105;31;16;15;0;0;4;70
14 Jalisco;500-999 habitantes;No especificado;Agua entubada dentro de la vivienda;18;16;11;5;0;0;2;0
14 Jalisco;500-999 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;8;7;2;5;0;0;1;0
14 Jalisco;500-999 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);5;4;0;4;0;0;0;1
14 Jalisco;500-999 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;3;2;2;0;0;0;1;0
14 Jalisco;500-999 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;1;1;0;1;0;0;0;0
14 Jalisco;500-999 habitantes;No especificado;No especificado;70;1;1;0;0;0;0;69
14 Jalisco;1 000-2 499 habitantes;Total;Total;84.566;80.907;69.903;9.777;676;551;3.210;449
14 Jalisco;1 000-2 499 habitantes;Total;Agua entubada dentro de la vivienda;68.693;67.049;60.181;5.948;514;406;1.454;190
14 Jalisco;1 000-2 499 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;9.293;8.510;6.590;1.736;112;72;733;50
14 Jalisco;1 000-2 499 habitantes;Total;Agua entubada de la llave pública (o hidrante);1.753;1.592;1.189;380;10;13;157;4
14 Jalisco;1 000-2 499 habitantes;Total;Agua entubada que acarrean de otra vivienda;947;603;412;165;17;9;327;17
14 Jalisco;1 000-2 499 habitantes;Total;Agua de pipa;1.072;957;235;709;6;7;108;7
14 Jalisco;1 000-2 499 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;2.540;2.096;1.210;825;17;44;421;23
14 Jalisco;1 000-2 499 habitantes;Total;No especificado;268;100;86;14;0;0;10;158
14 Jalisco;1 000-2 499 habitantes;Disponen de energía eléctrica;Total;83.504;80.398;69.641;9.545;667;545;2.788;318
14 Jalisco;1 000-2 499 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;68.327;66.812;60.029;5.866;512;405;1.334;181
14 Jalisco;1 000-2 499 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;9.075;8.382;6.526;1.677;110;69;648;45
14 Jalisco;1 000-2 499 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);1.725;1.577;1.183;371;10;13;144;4
14 Jalisco;1 000-2 499 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;836;571;399;150;13;9;251;14
14 Jalisco;1 000-2 499 habitantes;Disponen de energía eléctrica;Agua de pipa;1.017;917;227;678;6;6;93;7
14 Jalisco;1 000-2 499 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;2.373;2.046;1.197;790;16;43;312;15
14 Jalisco;1 000-2 499 habitantes;Disponen de energía eléctrica;No especificado;151;93;80;13;0;0;6;52
14 Jalisco;1 000-2 499 habitantes;No disponen de energía eléctrica;Total;901;459;228;217;8;6;417;25
14 Jalisco;1 000-2 499 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;327;200;122;76;1;1;118;9
14 Jalisco;1 000-2 499 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;209;121;62;54;2;3;83;5
14 Jalisco;1 000-2 499 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);26;13;5;8;0;0;13;0
