INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por tamaño de localidad, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 7
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Tamaño de localidad;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;500 000-999 999 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;3.164;3.047;2.519;467;23;38;103;14
14 Jalisco;500 000-999 999 habitantes;Total;Agua entubada de la llave pública (o hidrante);1.234;1.187;1.000;176;6;5;45;2
14 Jalisco;500 000-999 999 habitantes;Total;Agua entubada que acarrean de otra vivienda;513;435;301;124;7;3;69;9
14 Jalisco;500 000-999 999 habitantes;Total;Agua de pipa;2.014;1.882;979;874;17;12;129;3
14 Jalisco;500 000-999 999 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;1.050;947;539;382;20;6;97;6
14 Jalisco;500 000-999 999 habitantes;Total;No especificado;801;205;191;13;1;0;6;590
14 Jalisco;500 000-999 999 habitantes;Disponen de energía eléctrica;Total;132.595;131.292;127.312;3.617;168;195;809;494
14 Jalisco;500 000-999 999 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;124.354;123.733;121.852;1.655;94;132;402;219
14 Jalisco;500 000-999 999 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;3.125;3.018;2.497;460;23;38;95;12
14 Jalisco;500 000-999 999 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);1.225;1.180;997;172;6;5;43;2
14 Jalisco;500 000-999 999 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;480;413;284;120;7;2;58;9
14 Jalisco;500 000-999 999 habitantes;Disponen de energía eléctrica;Agua de pipa;1.950;1.830;968;833;17;12;118;2
14 Jalisco;500 000-999 999 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;1.012;918;528;364;20;6;89;5
14 Jalisco;500 000-999 999 habitantes;Disponen de energía eléctrica;No especificado;449;200;186;13;1;0;4;245
14 Jalisco;500 000-999 999 habitantes;No disponen de energía eléctrica;Total;307;257;172;82;2;1;47;3
14 Jalisco;500 000-999 999 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;131;125;112;11;2;0;6;0
14 Jalisco;500 000-999 999 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;34;26;19;7;0;0;7;1
14 Jalisco;500 000-999 999 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);8;6;2;4;0;0;2;0
14 Jalisco;500 000-999 999 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;32;21;16;4;0;1;11;0
14 Jalisco;500 000-999 999 habitantes;No disponen de energía eléctrica;Agua de pipa;62;50;11;39;0;0;11;1
14 Jalisco;500 000-999 999 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;35;26;9;17;0;0;8;1
14 Jalisco;500 000-999 999 habitantes;No disponen de energía eléctrica;No especificado;5;3;3;0;0;0;2;0
14 Jalisco;500 000-999 999 habitantes;No especificado;Total;406;56;52;4;0;0;2;348
14 Jalisco;500 000-999 999 habitantes;No especificado;Agua entubada dentro de la vivienda;47;44;43;1;0;0;1;2
14 Jalisco;500 000-999 999 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;5;3;3;0;0;0;1;1
14 Jalisco;500 000-999 999 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);1;1;1;0;0;0;0;0
14 Jalisco;500 000-999 999 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;1;1;1;0;0;0;0;0
14 Jalisco;500 000-999 999 habitantes;No especificado;Agua de pipa;2;2;0;2;0;0;0;0
14 Jalisco;500 000-999 999 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;3;3;2;1;0;0;0;0
14 Jalisco;500 000-999 999 habitantes;No especificado;No especificado;347;2;2;0;0;0;0;345
14 Jalisco;1 000 000 y más habitantes;Total;Total;657.560;652.938;645.426;5.445;1.397;670;1.062;3.560
14 Jalisco;1 000 000 y más habitantes;Total;Agua entubada dentro de la vivienda;638.909;637.295;633.598;2.304;936;457;412;1.202
14 Jalisco;1 000 000 y más habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;5.848;5.689;4.753;754;144;38;126;33
14 Jalisco;1 000 000 y más habitantes;Total;Agua entubada de la llave pública (o hidrante);3.125;3.066;2.637;253;110;66;57;2
14 Jalisco;1 000 000 y más habitantes;Total;Agua entubada que acarrean de otra vivienda;1.176;982;626;225;81;50;176;18
14 Jalisco;1 000 000 y más habitantes;Total;Agua de pipa;4.328;4.102;2.223;1.748;95;36;219;7
14 Jalisco;1 000 000 y más habitantes;Total;Agua de pozo, río, lago, arroyo u otra;938;874;672;153;29;20;58;6
14 Jalisco;1 000 000 y más habitantes;Total;No especificado;3.236;930;917;8;2;3;14;2.292
14 Jalisco;1 000 000 y más habitantes;Disponen de energía eléctrica;Total;655.534;652.152;644.747;5.360;1.379;666;988;2.394
14 Jalisco;1 000 000 y más habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;638.371;636.777;633.103;2.285;933;456;401;1.193
14 Jalisco;1 000 000 y más habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;5.740;5.592;4.683;730;141;38;118;30
14 Jalisco;1 000 000 y más habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);3.098;3.042;2.619;249;109;65;54;2
14 Jalisco;1 000 000 y más habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;1.099;937;600;212;77;48;145;17
14 Jalisco;1 000 000 y más habitantes;Disponen de energía eléctrica;Agua de pipa;4.262;4.043;2.191;1.726;90;36;212;7
14 Jalisco;1 000 000 y más habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;910;858;660;151;27;20;47;5
14 Jalisco;1 000 000 y más habitantes;Disponen de energía eléctrica;No especificado;2.054;903;891;7;2;3;11;1.140
14 Jalisco;1 000 000 y más habitantes;No disponen de energía eléctrica;Total;638;563;463;80;16;4;72;3
14 Jalisco;1 000 000 y más habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;336;325;306;16;2;1;10;1
14 Jalisco;1 000 000 y más habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;95;86;60;23;3;0;8;1
14 Jalisco;1 000 000 y más habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);26;23;17;4;1;1;3;0
14 Jalisco;1 000 000 y más habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;77;45;26;13;4;2;31;1
14 Jalisco;1 000 000 y más habitantes;No disponen de energía eléctrica;Agua de pipa;62;55;30;21;4;0;7;0
14 Jalisco;1 000 000 y más habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;26;15;11;2;2;0;11;0
14 Jalisco;1 000 000 y más habitantes;No disponen de energía eléctrica;No especificado;16;14;13;1;0;0;2;0
14 Jalisco;1 000 000 y más habitantes;No especificado;Total;1.388;223;216;5;2;0;2;1.163
14 Jalisco;1 000 000 y más habitantes;No especificado;Agua entubada dentro de la vivienda;202;193;189;3;1;0;1;8
14 Jalisco;1 000 000 y más habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;13;11;10;1;0;0;0;2
14 Jalisco;1 000 000 y más habitantes;No especificado;Agua entubada de la llave pública (o hidrante);1;1;1;0;0;0;0;0
14 Jalisco;1 000 000 y más habitantes;No especificado;Agua de pipa;4;4;2;1;1;0;0;0
14 Jalisco;1 000 000 y más habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;2;1;1;0;0;0;0;1
14 Jalisco;1 000 000 y más habitantes;No especificado;No especificado;1.166;13;13;0;0;0;1;1.152
;;;;;;;;;;;
1  El total de viviendas particulares habitadas excluye viviendas móviles, refugios y locales no construidos para habitación debido a que no se captaron;;;;;;;;;;;
   características de estas clases de vivienda. Asimismo, excluye las viviendas sin información de ocupantes.;;;;;;;;;;;
