INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Ocupantes de viviendas particulares habitadas por municipio, disponibilidad de excusado;;;;;;;;;;;Vivienda 12
y admisión de agua según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Disponibilidad de excusado;Admisión de agua;Ocupantes de viviendas particulares1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;062 Mixtlán;Disponen de excusado;No se le puede echar agua;60;24;0;20;0;4;36;0
14 Jalisco;062 Mixtlán;Disponen de excusado;No especificado;7;0;0;0;0;0;7;0
14 Jalisco;062 Mixtlán;No disponen de excusado;Total;334;23;5;5;13;0;281;30
14 Jalisco;062 Mixtlán;No especificado;Total;6;0;0;0;0;0;0;6
14 Jalisco;063 Ocotlán;Total;Total;92.427;90.814;82.392;7.227;186;1.009;1.372;241
14 Jalisco;063 Ocotlán;Disponen de excusado;Total;91.273;90.403;82.248;7.009;160;986;745;125
14 Jalisco;063 Ocotlán;Disponen de excusado;Tiene descarga directa de agua;69.747;69.655;66.586;2.565;85;419;0;92
14 Jalisco;063 Ocotlán;Disponen de excusado;Le echan agua con cubeta;20.801;20.295;15.531;4.130;68;566;478;28
14 Jalisco;063 Ocotlán;Disponen de excusado;No se le puede echar agua;517;345;45;292;7;1;172;0
14 Jalisco;063 Ocotlán;Disponen de excusado;No especificado;208;108;86;22;0;0;95;5
14 Jalisco;063 Ocotlán;No disponen de excusado;Total;1.056;398;131;218;26;23;623;35
14 Jalisco;063 Ocotlán;No especificado;Total;98;13;13;0;0;0;4;81
14 Jalisco;064 Ojuelos de Jalisco;Total;Total;30.052;24.031;22.085;1.826;81;39;5.726;295
14 Jalisco;064 Ojuelos de Jalisco;Disponen de excusado;Total;24.210;23.574;21.672;1.790;78;34;617;19
14 Jalisco;064 Ojuelos de Jalisco;Disponen de excusado;Tiene descarga directa de agua;15.015;15.006;14.260;711;28;7;0;9
14 Jalisco;064 Ojuelos de Jalisco;Disponen de excusado;Le echan agua con cubeta;8.617;8.337;7.329;934;47;27;270;10
14 Jalisco;064 Ojuelos de Jalisco;Disponen de excusado;No se le puede echar agua;441;199;68;128;3;0;242;0
14 Jalisco;064 Ojuelos de Jalisco;Disponen de excusado;No especificado;137;32;15;17;0;0;105;0
14 Jalisco;064 Ojuelos de Jalisco;No disponen de excusado;Total;5.737;443;399;36;3;5;5.051;243
14 Jalisco;064 Ojuelos de Jalisco;No especificado;Total;105;14;14;0;0;0;58;33
14 Jalisco;065 Pihuamo;Total;Total;12.106;11.484;8.461;1.540;1.011;472;593;29
14 Jalisco;065 Pihuamo;Disponen de excusado;Total;11.556;11.392;8.443;1.505;992;452;158;6
14 Jalisco;065 Pihuamo;Disponen de excusado;Tiene descarga directa de agua;5.212;5.212;4.352;437;262;161;0;0
14 Jalisco;065 Pihuamo;Disponen de excusado;Le echan agua con cubeta;6.323;6.168;4.085;1.064;728;291;149;6
14 Jalisco;065 Pihuamo;Disponen de excusado;No se le puede echar agua;5;5;1;4;0;0;0;0
14 Jalisco;065 Pihuamo;Disponen de excusado;No especificado;16;7;5;0;2;0;9;0
14 Jalisco;065 Pihuamo;No disponen de excusado;Total;534;92;18;35;19;20;429;13
14 Jalisco;065 Pihuamo;No especificado;Total;16;0;0;0;0;0;6;10
14 Jalisco;066 Poncitlán;Total;Total;48.275;46.612;36.890;8.279;58;1.385;1.598;65
14 Jalisco;066 Poncitlán;Disponen de excusado;Total;46.647;46.128;36.779;7.932;54;1.363;489;30
14 Jalisco;066 Poncitlán;Disponen de excusado;Tiene descarga directa de agua;25.602;25.594;23.982;1.153;7;452;0;8
14 Jalisco;066 Poncitlán;Disponen de excusado;Le echan agua con cubeta;20.477;20.194;12.734;6.507;47;906;281;2
14 Jalisco;066 Poncitlán;Disponen de excusado;No se le puede echar agua;392;258;17;241;0;0;134;0
14 Jalisco;066 Poncitlán;Disponen de excusado;No especificado;176;82;46;31;0;5;74;20
14 Jalisco;066 Poncitlán;No disponen de excusado;Total;1.601;471;98;347;4;22;1.109;21
14 Jalisco;066 Poncitlán;No especificado;Total;27;13;13;0;0;0;0;14
14 Jalisco;067 Puerto Vallarta;Total;Total;248.093;243.471;218.432;24.594;341;104;2.871;1.751
14 Jalisco;067 Puerto Vallarta;Disponen de excusado;Total;244.653;242.311;217.656;24.241;323;91;1.902;440
14 Jalisco;067 Puerto Vallarta;Disponen de excusado;Tiene descarga directa de agua;215.418;215.093;204.447;10.375;206;65;0;325
14 Jalisco;067 Puerto Vallarta;Disponen de excusado;Le echan agua con cubeta;26.719;25.474;11.925;13.412;111;26;1.188;57
14 Jalisco;067 Puerto Vallarta;Disponen de excusado;No se le puede echar agua;479;252;53;193;6;0;227;0
14 Jalisco;067 Puerto Vallarta;Disponen de excusado;No especificado;2.037;1.492;1.231;261;0;0;487;58
14 Jalisco;067 Puerto Vallarta;No disponen de excusado;Total;1.986;931;584;316;18;13;958;97
14 Jalisco;067 Puerto Vallarta;No especificado;Total;1.454;229;192;37;0;0;11;1.214
14 Jalisco;069 Quitupan;Total;Total;8.687;7.264;3.707;2.576;655;326;1.372;51
14 Jalisco;069 Quitupan;Disponen de excusado;Total;7.480;7.144;3.703;2.535;584;322;310;26
14 Jalisco;069 Quitupan;Disponen de excusado;Tiene descarga directa de agua;4.750;4.733;3.063;1.160;303;207;0;17
14 Jalisco;069 Quitupan;Disponen de excusado;Le echan agua con cubeta;2.503;2.322;631;1.320;259;112;172;9
14 Jalisco;069 Quitupan;Disponen de excusado;No se le puede echar agua;124;68;2;41;22;3;56;0
14 Jalisco;069 Quitupan;Disponen de excusado;No especificado;103;21;7;14;0;0;82;0
14 Jalisco;069 Quitupan;No disponen de excusado;Total;1.205;120;4;41;71;4;1.061;24
14 Jalisco;069 Quitupan;No especificado;Total;2;0;0;0;0;0;1;1
14 Jalisco;071 San Cristóbal de la Barranca;Total;Total;3.164;2.855;919;1.852;10;74;227;82
14 Jalisco;071 San Cristóbal de la Barranca;Disponen de excusado;Total;2.888;2.818;918;1.821;10;69;51;19
14 Jalisco;071 San Cristóbal de la Barranca;Disponen de excusado;Tiene descarga directa de agua;1.360;1.348;629;676;5;38;0;12
14 Jalisco;071 San Cristóbal de la Barranca;Disponen de excusado;Le echan agua con cubeta;1.463;1.438;289;1.113;5;31;18;7
14 Jalisco;071 San Cristóbal de la Barranca;Disponen de excusado;No se le puede echar agua;44;27;0;27;0;0;17;0
14 Jalisco;071 San Cristóbal de la Barranca;Disponen de excusado;No especificado;21;5;0;5;0;0;16;0
14 Jalisco;071 San Cristóbal de la Barranca;No disponen de excusado;Total;276;37;1;31;0;5;176;63
14 Jalisco;072 San Diego de Alejandría;Total;Total;6.637;6.168;5.289;677;169;33;418;51
14 Jalisco;072 San Diego de Alejandría;Disponen de excusado;Total;6.332;6.119;5.283;647;156;33;199;14
14 Jalisco;072 San Diego de Alejandría;Disponen de excusado;Tiene descarga directa de agua;4.571;4.563;4.014;413;113;23;0;8
14 Jalisco;072 San Diego de Alejandría;Disponen de excusado;Le echan agua con cubeta;1.618;1.524;1.249;222;43;10;94;0
14 Jalisco;072 San Diego de Alejandría;Disponen de excusado;No se le puede echar agua;30;15;3;12;0;0;15;0
14 Jalisco;072 San Diego de Alejandría;Disponen de excusado;No especificado;113;17;17;0;0;0;90;6
14 Jalisco;072 San Diego de Alejandría;No disponen de excusado;Total;286;49;6;30;13;0;219;18
14 Jalisco;072 San Diego de Alejandría;No especificado;Total;19;0;0;0;0;0;0;19
14 Jalisco;113 San Gabriel;Total;Total;15.262;14.117;10.921;2.644;416;136;864;281
14 Jalisco;113 San Gabriel;Disponen de excusado;Total;14.099;13.794;10.814;2.497;361;122;275;30
14 Jalisco;113 San Gabriel;Disponen de excusado;Tiene descarga directa de agua;8.200;8.182;7.249;702;162;69;0;18
14 Jalisco;113 San Gabriel;Disponen de excusado;Le echan agua con cubeta;5.620;5.438;3.545;1.651;189;53;173;9
14 Jalisco;113 San Gabriel;Disponen de excusado;No se le puede echar agua;203;152;4;141;7;0;51;0
14 Jalisco;113 San Gabriel;Disponen de excusado;No especificado;76;22;16;3;3;0;51;3
14 Jalisco;113 San Gabriel;No disponen de excusado;Total;1.026;297;96;147;43;11;585;144
14 Jalisco;113 San Gabriel;No especificado;Total;137;26;11;0;12;3;4;107
14 Jalisco;125 San Ignacio Cerro Gordo;Total;Total;17.613;16.863;10.771;5.860;214;18;685;65
14 Jalisco;125 San Ignacio Cerro Gordo;Disponen de excusado;Total;16.889;16.702;10.736;5.748;200;18;160;27
14 Jalisco;125 San Ignacio Cerro Gordo;Disponen de excusado;Tiene descarga directa de agua;13.561;13.534;9.140;4.262;119;13;0;27
14 Jalisco;125 San Ignacio Cerro Gordo;Disponen de excusado;Le echan agua con cubeta;3.191;3.132;1.593;1.453;81;5;59;0
14 Jalisco;125 San Ignacio Cerro Gordo;Disponen de excusado;No se le puede echar agua;46;28;0;28;0;0;18;0
14 Jalisco;125 San Ignacio Cerro Gordo;Disponen de excusado;No especificado;91;8;3;5;0;0;83;0
14 Jalisco;125 San Ignacio Cerro Gordo;No disponen de excusado;Total;689;150;32;104;14;0;521;18
14 Jalisco;125 San Ignacio Cerro Gordo;No especificado;Total;35;11;3;8;0;0;4;20
14 Jalisco;073 San Juan de los Lagos;Total;Total;64.678;61.974;52.745;5.357;3.072;800;2.373;331
14 Jalisco;073 San Juan de los Lagos;Disponen de excusado;Total;62.218;61.675;52.613;5.281;3.002;779;441;102
14 Jalisco;073 San Juan de los Lagos;Disponen de excusado;Tiene descarga directa de agua;50.052;49.990;43.675;3.931;1.883;501;0;62
14 Jalisco;073 San Juan de los Lagos;Disponen de excusado;Le echan agua con cubeta;11.636;11.430;8.777;1.281;1.102;270;171;35
14 Jalisco;073 San Juan de los Lagos;Disponen de excusado;No se le puede echar agua;256;106;25;60;13;8;150;0
14 Jalisco;073 San Juan de los Lagos;Disponen de excusado;No especificado;274;149;136;9;4;0;120;5
14 Jalisco;073 San Juan de los Lagos;No disponen de excusado;Total;2.207;240;97;59;63;21;1.911;56
14 Jalisco;073 San Juan de los Lagos;No especificado;Total;253;59;35;17;7;0;21;173
14 Jalisco;007 San Juanito de Escobedo;Total;Total;8.844;8.607;7.620;971;7;9;220;17
14 Jalisco;007 San Juanito de Escobedo;Disponen de excusado;Total;8.610;8.512;7.541;955;7;9;95;3
14 Jalisco;007 San Juanito de Escobedo;Disponen de excusado;Tiene descarga directa de agua;5.750;5.747;5.333;405;7;2;0;3
14 Jalisco;007 San Juanito de Escobedo;Disponen de excusado;Le echan agua con cubeta;2.749;2.715;2.201;507;0;7;34;0
14 Jalisco;007 San Juanito de Escobedo;Disponen de excusado;No se le puede echar agua;70;50;7;43;0;0;20;0
14 Jalisco;007 San Juanito de Escobedo;Disponen de excusado;No especificado;41;0;0;0;0;0;41;0
14 Jalisco;007 San Juanito de Escobedo;No disponen de excusado;Total;227;94;78;16;0;0;125;8
14 Jalisco;007 San Juanito de Escobedo;No especificado;Total;7;1;1;0;0;0;0;6
14 Jalisco;074 San Julián;Total;Total;15.407;14.890;14.054;595;149;92;443;74
14 Jalisco;074 San Julián;Disponen de excusado;Total;15.042;14.803;14.008;566;139;90;194;45
14 Jalisco;074 San Julián;Disponen de excusado;Tiene descarga directa de agua;12.935;12.892;12.463;289;94;46;0;43
14 Jalisco;074 San Julián;Disponen de excusado;Le echan agua con cubeta;2.029;1.895;1.541;269;45;40;134;0
14 Jalisco;074 San Julián;Disponen de excusado;No se le puede echar agua;24;12;4;8;0;0;12;0
14 Jalisco;074 San Julián;Disponen de excusado;No especificado;54;4;0;0;0;4;48;2
14 Jalisco;074 San Julián;No disponen de excusado;Total;338;82;41;29;10;2;249;7
14 Jalisco;074 San Julián;No especificado;Total;27;5;5;0;0;0;0;22
14 Jalisco;075 San Marcos;Total;Total;3.753;3.591;3.435;135;6;15;134;28
14 Jalisco;075 San Marcos;Disponen de excusado;Total;3.627;3.571;3.415;135;6;15;37;19
14 Jalisco;075 San Marcos;Disponen de excusado;Tiene descarga directa de agua;2.584;2.577;2.496;67;6;8;0;7
14 Jalisco;075 San Marcos;Disponen de excusado;Le echan agua con cubeta;1.005;980;905;68;0;7;25;0
14 Jalisco;075 San Marcos;Disponen de excusado;No se le puede echar agua;14;7;7;0;0;0;7;0
14 Jalisco;075 San Marcos;Disponen de excusado;No especificado;24;7;7;0;0;0;5;12
14 Jalisco;075 San Marcos;No disponen de excusado;Total;119;20;20;0;0;0;97;2
14 Jalisco;075 San Marcos;No especificado;Total;7;0;0;0;0;0;0;7
14 Jalisco;076 San Martín de Bolaños;Total;Total;3.372;2.827;2.060;424;240;103;426;119
14 Jalisco;076 San Martín de Bolaños;Disponen de excusado;Total;2.944;2.786;2.044;414;230;98;49;109
14 Jalisco;076 San Martín de Bolaños;Disponen de excusado;Tiene descarga directa de agua;1.615;1.615;1.348;131;93;43;0;0
14 Jalisco;076 San Martín de Bolaños;Disponen de excusado;Le echan agua con cubeta;1.192;1.165;696;282;132;55;27;0
14 Jalisco;076 San Martín de Bolaños;Disponen de excusado;No se le puede echar agua;9;6;0;1;5;0;3;0
14 Jalisco;076 San Martín de Bolaños;Disponen de excusado;No especificado;128;0;0;0;0;0;19;109
14 Jalisco;076 San Martín de Bolaños;No disponen de excusado;Total;423;41;16;10;10;5;372;10
14 Jalisco;076 San Martín de Bolaños;No especificado;Total;5;0;0;0;0;0;5;0
14 Jalisco;077 San Martín Hidalgo;Total;Total;26.276;25.626;23.424;1.572;193;437;481;169
14 Jalisco;077 San Martín Hidalgo;Disponen de excusado;Total;25.562;25.430;23.308;1.532;174;416;92;40
14 Jalisco;077 San Martín Hidalgo;Disponen de excusado;Tiene descarga directa de agua;19.448;19.424;18.329;721;117;257;0;24
14 Jalisco;077 San Martín Hidalgo;Disponen de excusado;Le echan agua con cubeta;5.930;5.875;4.945;720;55;155;43;12
14 Jalisco;077 San Martín Hidalgo;Disponen de excusado;No se le puede echar agua;118;91;4;81;2;4;23;4
14 Jalisco;077 San Martín Hidalgo;Disponen de excusado;No especificado;66;40;30;10;0;0;26;0
14 Jalisco;077 San Martín Hidalgo;No disponen de excusado;Total;641;177;108;36;19;14;389;75
14 Jalisco;077 San Martín Hidalgo;No especificado;Total;73;19;8;4;0;7;0;54
14 Jalisco;078 San Miguel el Alto;Total;Total;31.083;28.983;25.621;2.057;849;456;1.919;181
14 Jalisco;078 San Miguel el Alto;Disponen de excusado;Total;29.136;28.850;25.577;2.032;803;438;228;58
14 Jalisco;078 San Miguel el Alto;Disponen de excusado;Tiene descarga directa de agua;25.776;25.746;23.477;1.394;535;340;0;30
14 Jalisco;078 San Miguel el Alto;Disponen de excusado;Le echan agua con cubeta;2.972;2.840;1.849;632;261;98;113;19
14 Jalisco;078 San Miguel el Alto;Disponen de excusado;No se le puede echar agua;78;14;3;4;7;0;64;0
14 Jalisco;078 San Miguel el Alto;Disponen de excusado;No especificado;310;250;248;2;0;0;51;9
14 Jalisco;078 San Miguel el Alto;No disponen de excusado;Total;1.852;124;35;25;46;18;1.691;37
14 Jalisco;078 San Miguel el Alto;No especificado;Total;95;9;9;0;0;0;0;86
14 Jalisco;080 San Sebastián del Oeste;Total;Total;5.752;5.278;2.992;2.039;168;79;449;25
14 Jalisco;080 San Sebastián del Oeste;Disponen de excusado;Total;5.341;5.235;2.987;2.024;160;64;98;8
14 Jalisco;080 San Sebastián del Oeste;Disponen de excusado;Tiene descarga directa de agua;3.086;3.078;2.057;929;65;27;0;8
14 Jalisco;080 San Sebastián del Oeste;Disponen de excusado;Le echan agua con cubeta;2.192;2.153;930;1.091;95;37;39;0
14 Jalisco;080 San Sebastián del Oeste;Disponen de excusado;No se le puede echar agua;11;4;0;4;0;0;7;0
14 Jalisco;080 San Sebastián del Oeste;Disponen de excusado;No especificado;52;0;0;0;0;0;52;0
14 Jalisco;080 San Sebastián del Oeste;No disponen de excusado;Total;404;38;5;15;3;15;351;15
14 Jalisco;080 San Sebastián del Oeste;No especificado;Total;7;5;0;0;5;0;0;2
14 Jalisco;081 Santa María de los Ángeles;Total;Total;3.713;3.236;2.043;1.074;13;106;466;11
14 Jalisco;081 Santa María de los Ángeles;Disponen de excusado;Total;3.351;3.204;2.031;1.059;8;106;147;0
14 Jalisco;081 Santa María de los Ángeles;Disponen de excusado;Tiene descarga directa de agua;2.782;2.782;1.817;861;8;96;0;0
14 Jalisco;081 Santa María de los Ángeles;Disponen de excusado;Le echan agua con cubeta;420;400;210;180;0;10;20;0
14 Jalisco;081 Santa María de los Ángeles;Disponen de excusado;No se le puede echar agua;51;14;1;13;0;0;37;0
14 Jalisco;081 Santa María de los Ángeles;Disponen de excusado;No especificado;98;8;3;5;0;0;90;0
14 Jalisco;081 Santa María de los Ángeles;No disponen de excusado;Total;362;32;12;15;5;0;319;11
14 Jalisco;056 Santa María del Oro;Total;Total;2.517;1.345;707;551;31;56;1.133;39
14 Jalisco;056 Santa María del Oro;Disponen de excusado;Total;1.520;1.332;703;547;26;56;182;6
14 Jalisco;056 Santa María del Oro;Disponen de excusado;Tiene descarga directa de agua;940;940;572;314;18;36;0;0
14 Jalisco;056 Santa María del Oro;Disponen de excusado;Le echan agua con cubeta;515;392;131;233;8;20;117;6
14 Jalisco;056 Santa María del Oro;Disponen de excusado;No se le puede echar agua;22;0;0;0;0;0;22;0
14 Jalisco;056 Santa María del Oro;Disponen de excusado;No especificado;43;0;0;0;0;0;43;0
14 Jalisco;056 Santa María del Oro;No disponen de excusado;Total;970;13;4;4;5;0;935;22
14 Jalisco;056 Santa María del Oro;No especificado;Total;27;0;0;0;0;0;16;11
14 Jalisco;082 Sayula;Total;Total;34.714;34.134;33.537;575;11;11;491;89
14 Jalisco;082 Sayula;Disponen de excusado;Total;34.311;33.968;33.454;499;11;4;319;24
14 Jalisco;082 Sayula;Disponen de excusado;Tiene descarga directa de agua;27.800;27.776;27.566;195;11;4;0;24
14 Jalisco;082 Sayula;Disponen de excusado;Le echan agua con cubeta;6.117;5.979;5.780;199;0;0;138;0
14 Jalisco;082 Sayula;Disponen de excusado;No se le puede echar agua;277;160;62;98;0;0;117;0
14 Jalisco;082 Sayula;Disponen de excusado;No especificado;117;53;46;7;0;0;64;0
14 Jalisco;082 Sayula;No disponen de excusado;Total;298;121;38;76;0;7;171;6
14 Jalisco;082 Sayula;No especificado;Total;105;45;45;0;0;0;1;59
14 Jalisco;083 Tala;Total;Total;68.871;68.076;65.498;2.067;157;354;575;220
14 Jalisco;083 Tala;Disponen de excusado;Total;68.099;67.811;65.299;2.005;157;350;179;109
14 Jalisco;083 Tala;Disponen de excusado;Tiene descarga directa de agua;54.032;53.954;52.790;856;116;192;0;78
14 Jalisco;083 Tala;Disponen de excusado;Le echan agua con cubeta;13.842;13.692;12.396;1.097;41;158;130;20
14 Jalisco;083 Tala;Disponen de excusado;No se le puede echar agua;77;61;16;45;0;0;16;0
14 Jalisco;083 Tala;Disponen de excusado;No especificado;148;104;97;7;0;0;33;11
14 Jalisco;083 Tala;No disponen de excusado;Total;658;226;160;62;0;4;396;36
14 Jalisco;083 Tala;No especificado;Total;114;39;39;0;0;0;0;75
14 Jalisco;084 Talpa de Allende;Total;Total;14.365;13.081;9.677;3.129;229;46;1.257;27
14 Jalisco;084 Talpa de Allende;Disponen de excusado;Total;13.092;12.919;9.626;3.075;188;30;159;14
14 Jalisco;084 Talpa de Allende;Disponen de excusado;Tiene descarga directa de agua;9.852;9.845;8.270;1.432;132;11;0;7
14 Jalisco;084 Talpa de Allende;Disponen de excusado;Le echan agua con cubeta;3.080;3.017;1.335;1.608;56;18;56;7
14 Jalisco;084 Talpa de Allende;Disponen de excusado;No se le puede echar agua;97;40;5;35;0;0;57;0
14 Jalisco;084 Talpa de Allende;Disponen de excusado;No especificado;63;17;16;0;0;1;46;0
14 Jalisco;084 Talpa de Allende;No disponen de excusado;Total;1.263;155;44;54;41;16;1.098;10
14 Jalisco;084 Talpa de Allende;No especificado;Total;10;7;7;0;0;0;0;3
14 Jalisco;085 Tamazula de Gordiano;Total;Total;37.866;36.780;30.639;3.701;1.012;1.428;1.042;44
14 Jalisco;085 Tamazula de Gordiano;Disponen de excusado;Total;36.793;36.480;30.562;3.576;928;1.414;302;11
14 Jalisco;085 Tamazula de Gordiano;Disponen de excusado;Tiene descarga directa de agua;29.119;29.116;25.686;1.903;549;978;0;3
14 Jalisco;085 Tamazula de Gordiano;Disponen de excusado;Le echan agua con cubeta;7.409;7.227;4.837;1.579;375;436;174;8
14 Jalisco;085 Tamazula de Gordiano;Disponen de excusado;No se le puede echar agua;125;93;15;78;0;0;32;0
14 Jalisco;085 Tamazula de Gordiano;Disponen de excusado;No especificado;140;44;24;16;4;0;96;0
14 Jalisco;085 Tamazula de Gordiano;No disponen de excusado;Total;1.033;285;62;125;84;14;735;13
14 Jalisco;085 Tamazula de Gordiano;No especificado;Total;40;15;15;0;0;0;5;20
14 Jalisco;086 Tapalpa;Total;Total;17.959;16.266;12.967;3.090;35;174;1.609;84
14 Jalisco;086 Tapalpa;Disponen de excusado;Total;16.311;15.964;12.838;2.930;24;172;319;28
14 Jalisco;086 Tapalpa;Disponen de excusado;Tiene descarga directa de agua;9.536;9.527;8.496;895;0;136;0;9
14 Jalisco;086 Tapalpa;Disponen de excusado;Le echan agua con cubeta;6.425;6.242;4.338;1.844;24;36;164;19
14 Jalisco;086 Tapalpa;Disponen de excusado;No se le puede echar agua;235;138;2;136;0;0;97;0
14 Jalisco;086 Tapalpa;Disponen de excusado;No especificado;115;57;2;55;0;0;58;0
14 Jalisco;086 Tapalpa;No disponen de excusado;Total;1.603;288;117;160;11;0;1.290;25
14 Jalisco;086 Tapalpa;No especificado;Total;45;14;12;0;0;2;0;31
14 Jalisco;087 Tecalitlán;Total;Total;16.761;15.562;14.052;745;706;59;1.197;2
14 Jalisco;087 Tecalitlán;Disponen de excusado;Total;15.581;15.496;14.044;737;668;47;84;1
14 Jalisco;087 Tecalitlán;Disponen de excusado;Tiene descarga directa de agua;11.089;11.089;10.675;260;150;4;0;0
14 Jalisco;087 Tecalitlán;Disponen de excusado;Le echan agua con cubeta;4.416;4.346;3.308;477;518;43;69;1
14 Jalisco;087 Tecalitlán;Disponen de excusado;No se le puede echar agua;11;3;3;0;0;0;8;0
14 Jalisco;087 Tecalitlán;Disponen de excusado;No especificado;65;58;58;0;0;0;7;0
14 Jalisco;087 Tecalitlán;No disponen de excusado;Total;1.179;66;8;8;38;12;1.113;0
14 Jalisco;087 Tecalitlán;No especificado;Total;1;0;0;0;0;0;0;1
14 Jalisco;089 Techaluta de Montenegro;Total;Total;3.511;3.397;2.765;629;3;0;102;12
14 Jalisco;089 Techaluta de Montenegro;Disponen de excusado;Total;3.411;3.389;2.763;624;2;0;18;4
14 Jalisco;089 Techaluta de Montenegro;Disponen de excusado;Tiene descarga directa de agua;2.211;2.207;1.982;223;2;0;0;4
14 Jalisco;089 Techaluta de Montenegro;Disponen de excusado;Le echan agua con cubeta;1.156;1.146;781;365;0;0;10;0
14 Jalisco;089 Techaluta de Montenegro;Disponen de excusado;No se le puede echar agua;44;36;0;36;0;0;8;0
14 Jalisco;089 Techaluta de Montenegro;No disponen de excusado;Total;97;8;2;5;1;0;84;5
14 Jalisco;089 Techaluta de Montenegro;No especificado;Total;3;0;0;0;0;0;0;3
14 Jalisco;088 Tecolotlán;Total;Total;16.530;15.767;14.179;1.244;236;108;705;58
14 Jalisco;088 Tecolotlán;Disponen de excusado;Total;15.856;15.661;14.096;1.225;232;108;180;15
14 Jalisco;088 Tecolotlán;Disponen de excusado;Tiene descarga directa de agua;13.042;13.039;12.052;710;188;89;0;3
14 Jalisco;088 Tecolotlán;Disponen de excusado;Le echan agua con cubeta;2.663;2.597;2.019;515;44;19;63;3
14 Jalisco;088 Tecolotlán;Disponen de excusado;No se le puede echar agua;43;0;0;0;0;0;37;6
14 Jalisco;088 Tecolotlán;Disponen de excusado;No especificado;108;25;25;0;0;0;80;3
14 Jalisco;088 Tecolotlán;No disponen de excusado;Total;644;98;75;19;4;0;525;21
14 Jalisco;088 Tecolotlán;No especificado;Total;30;8;8;0;0;0;0;22
14 Jalisco;090 Tenamaxtlán;Total;Total;7.036;6.658;4.466;2.110;79;3;370;8
14 Jalisco;090 Tenamaxtlán;Disponen de excusado;Total;6.728;6.524;4.436;2.073;12;3;204;0
14 Jalisco;090 Tenamaxtlán;Disponen de excusado;Tiene descarga directa de agua;4.717;4.717;3.322;1.390;2;3;0;0
14 Jalisco;090 Tenamaxtlán;Disponen de excusado;Le echan agua con cubeta;1.849;1.768;1.098;660;10;0;81;0
14 Jalisco;090 Tenamaxtlán;Disponen de excusado;No se le puede echar agua;59;39;16;23;0;0;20;0
14 Jalisco;090 Tenamaxtlán;Disponen de excusado;No especificado;103;0;0;0;0;0;103;0
14 Jalisco;090 Tenamaxtlán;No disponen de excusado;Total;308;134;30;37;67;0;166;8
14 Jalisco;091 Teocaltiche;Total;Total;40.017;36.227;28.521;7.017;368;321;3.593;197
14 Jalisco;091 Teocaltiche;Disponen de excusado;Total;36.615;35.951;28.455;6.843;340;313;629;35
14 Jalisco;091 Teocaltiche;Disponen de excusado;Tiene descarga directa de agua;28.839;28.812;24.551;3.899;209;153;0;27
14 Jalisco;091 Teocaltiche;Disponen de excusado;Le echan agua con cubeta;6.159;6.031;3.766;1.984;123;158;122;6
14 Jalisco;091 Teocaltiche;Disponen de excusado;No se le puede echar agua;1.143;770;15;750;5;0;373;0
14 Jalisco;091 Teocaltiche;Disponen de excusado;No especificado;474;338;123;210;3;2;134;2
14 Jalisco;091 Teocaltiche;No disponen de excusado;Total;3.267;266;59;171;28;8;2.959;42
14 Jalisco;091 Teocaltiche;No especificado;Total;135;10;7;3;0;0;5;120
14 Jalisco;092 Teocuitatlán de Corona;Total;Total;10.818;10.315;7.713;2.256;40;306;406;97
14 Jalisco;092 Teocuitatlán de Corona;Disponen de excusado;Total;10.306;10.230;7.674;2.211;39;306;71;5
14 Jalisco;092 Teocuitatlán de Corona;Disponen de excusado;Tiene descarga directa de agua;6.178;6.178;4.874;1.080;18;206;0;0
14 Jalisco;092 Teocuitatlán de Corona;Disponen de excusado;Le echan agua con cubeta;3.983;3.960;2.794;1.047;19;100;18;5
14 Jalisco;092 Teocuitatlán de Corona;Disponen de excusado;No se le puede echar agua;119;86;6;78;2;0;33;0
14 Jalisco;092 Teocuitatlán de Corona;Disponen de excusado;No especificado;26;6;0;6;0;0;20;0
14 Jalisco;092 Teocuitatlán de Corona;No disponen de excusado;Total;482;85;39;45;1;0;335;62
14 Jalisco;092 Teocuitatlán de Corona;No especificado;Total;30;0;0;0;0;0;0;30
14 Jalisco;093 Tepatitlán de Morelos;Total;Total;135.432;132.713;118.344;13.447;515;407;2.297;422
14 Jalisco;093 Tepatitlán de Morelos;Disponen de excusado;Total;132.825;132.121;118.224;13.034;463;400;566;138
14 Jalisco;093 Tepatitlán de Morelos;Disponen de excusado;Tiene descarga directa de agua;119.027;118.919;109.951;8.476;313;179;0;108
14 Jalisco;093 Tepatitlán de Morelos;Disponen de excusado;Le echan agua con cubeta;13.133;12.827;8.131;4.329;146;221;280;26
14 Jalisco;093 Tepatitlán de Morelos;Disponen de excusado;No se le puede echar agua;329;242;24;214;4;0;87;0
14 Jalisco;093 Tepatitlán de Morelos;Disponen de excusado;No especificado;336;133;118;15;0;0;199;4
