INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Ocupantes de viviendas particulares habitadas por municipio, disponibilidad de excusado;;;;;;;;;;;Vivienda 12
y admisión de agua según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Disponibilidad de excusado;Admisión de agua;Ocupantes de viviendas particulares1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;016 Ayotlán;Disponen de excusado;Tiene descarga directa de agua;25.063;25.041;24.075;440;252;274;0;22
14 Jalisco;016 Ayotlán;Disponen de excusado;Le echan agua con cubeta;11.348;11.113;10.130;436;196;351;220;15
14 Jalisco;016 Ayotlán;Disponen de excusado;No se le puede echar agua;91;58;37;21;0;0;28;5
14 Jalisco;016 Ayotlán;Disponen de excusado;No especificado;210;50;46;4;0;0;160;0
14 Jalisco;016 Ayotlán;No disponen de excusado;Total;1.414;424;382;32;1;9;973;17
14 Jalisco;016 Ayotlán;No especificado;Total;103;22;13;2;0;7;4;77
14 Jalisco;017 Ayutla;Total;Total;12.636;11.773;8.996;2.523;114;140;846;17
14 Jalisco;017 Ayutla;Disponen de excusado;Total;11.877;11.705;8.970;2.506;103;126;162;10
14 Jalisco;017 Ayutla;Disponen de excusado;Tiene descarga directa de agua;9.151;9.144;7.565;1.439;73;67;0;7
14 Jalisco;017 Ayutla;Disponen de excusado;Le echan agua con cubeta;2.534;2.478;1.404;998;22;54;56;0
14 Jalisco;017 Ayutla;Disponen de excusado;No se le puede echar agua;144;83;1;69;8;5;58;3
14 Jalisco;017 Ayutla;Disponen de excusado;No especificado;48;0;0;0;0;0;48;0
14 Jalisco;017 Ayutla;No disponen de excusado;Total;759;68;26;17;11;14;684;7
14 Jalisco;019 Bolaños;Total;Total;6.816;2.693;2.289;354;36;14;3.994;129
14 Jalisco;019 Bolaños;Disponen de excusado;Total;2.854;2.675;2.276;351;34;14;132;47
14 Jalisco;019 Bolaños;Disponen de excusado;Tiene descarga directa de agua;1.519;1.503;1.410;63;21;9;0;16
14 Jalisco;019 Bolaños;Disponen de excusado;Le echan agua con cubeta;1.172;1.104;840;246;13;5;37;31
14 Jalisco;019 Bolaños;Disponen de excusado;No se le puede echar agua;81;28;0;28;0;0;53;0
14 Jalisco;019 Bolaños;Disponen de excusado;No especificado;82;40;26;14;0;0;42;0
14 Jalisco;019 Bolaños;No disponen de excusado;Total;3.929;18;13;3;2;0;3.857;54
14 Jalisco;019 Bolaños;No especificado;Total;33;0;0;0;0;0;5;28
14 Jalisco;020 Cabo Corrientes;Total;Total;9.992;8.512;2.824;5.611;56;21;1.090;390
14 Jalisco;020 Cabo Corrientes;Disponen de excusado;Total;8.768;8.424;2.810;5.577;16;21;256;88
14 Jalisco;020 Cabo Corrientes;Disponen de excusado;Tiene descarga directa de agua;5.085;5.060;2.489;2.549;14;8;0;25
14 Jalisco;020 Cabo Corrientes;Disponen de excusado;Le echan agua con cubeta;3.534;3.328;316;2.997;2;13;156;50
14 Jalisco;020 Cabo Corrientes;Disponen de excusado;No se le puede echar agua;74;23;0;23;0;0;46;5
14 Jalisco;020 Cabo Corrientes;Disponen de excusado;No especificado;75;13;5;8;0;0;54;8
14 Jalisco;020 Cabo Corrientes;No disponen de excusado;Total;1.159;88;14;34;40;0;834;237
14 Jalisco;020 Cabo Corrientes;No especificado;Total;65;0;0;0;0;0;0;65
14 Jalisco;117 Cañadas de Obregón;Total;Total;4.143;3.655;2.983;484;128;60;343;145
14 Jalisco;117 Cañadas de Obregón;Disponen de excusado;Total;3.741;3.625;2.981;466;118;60;94;22
14 Jalisco;117 Cañadas de Obregón;Disponen de excusado;Tiene descarga directa de agua;3.325;3.320;2.804;368;97;51;0;5
14 Jalisco;117 Cañadas de Obregón;Disponen de excusado;Le echan agua con cubeta;302;280;177;73;21;9;19;3
14 Jalisco;117 Cañadas de Obregón;Disponen de excusado;No se le puede echar agua;69;25;0;25;0;0;44;0
14 Jalisco;117 Cañadas de Obregón;Disponen de excusado;No especificado;45;0;0;0;0;0;31;14
14 Jalisco;117 Cañadas de Obregón;No disponen de excusado;Total;397;30;2;18;10;0;249;118
14 Jalisco;117 Cañadas de Obregón;No especificado;Total;5;0;0;0;0;0;0;5
14 Jalisco;021 Casimiro Castillo;Total;Total;21.441;20.980;18.885;2.052;20;23;384;77
14 Jalisco;021 Casimiro Castillo;Disponen de excusado;Total;20.968;20.838;18.824;1.971;20;23;106;24
14 Jalisco;021 Casimiro Castillo;Disponen de excusado;Tiene descarga directa de agua;16.880;16.865;15.817;1.017;16;15;0;15
14 Jalisco;021 Casimiro Castillo;Disponen de excusado;Le echan agua con cubeta;4.007;3.942;2.988;942;4;8;56;9
14 Jalisco;021 Casimiro Castillo;Disponen de excusado;No se le puede echar agua;24;14;5;9;0;0;10;0
14 Jalisco;021 Casimiro Castillo;Disponen de excusado;No especificado;57;17;14;3;0;0;40;0
14 Jalisco;021 Casimiro Castillo;No disponen de excusado;Total;428;131;50;81;0;0;278;19
14 Jalisco;021 Casimiro Castillo;No especificado;Total;45;11;11;0;0;0;0;34
14 Jalisco;030 Chapala;Total;Total;48.112;47.302;42.039;4.908;58;297;457;353
14 Jalisco;030 Chapala;Disponen de excusado;Total;47.471;47.109;41.926;4.832;54;297;202;160
