INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Ocupantes de viviendas particulares habitadas por tamaño de localidad, disponibilidad de excusado;;;;;;;;;;;Vivienda 11
y admisión de agua según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Tamaño de localidad;Disponibilidad de excusado;Admisión de agua;Ocupantes de viviendas particulares1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;10 000-14 999 habitantes;No especificado;Total;810;162;147;11;0;4;4;644
14 Jalisco;15 000-29 999 habitantes;Total;Total;677.909;668.289;619.987;44.627;2.287;1.388;7.085;2.535
14 Jalisco;15 000-29 999 habitantes;Disponen de excusado;Total;670.935;665.779;618.788;43.405;2.236;1.350;4.238;918
14 Jalisco;15 000-29 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;514.505;513.869;501.181;11.008;1.025;655;0;636
14 Jalisco;15 000-29 999 habitantes;Disponen de excusado;Le echan agua con cubeta;149.767;147.411;115.023;30.518;1.179;691;2.208;148
14 Jalisco;15 000-29 999 habitantes;Disponen de excusado;No se le puede echar agua;2.936;2.074;360;1.686;28;0;839;23
14 Jalisco;15 000-29 999 habitantes;Disponen de excusado;No especificado;3.727;2.425;2.224;193;4;4;1.191;111
14 Jalisco;15 000-29 999 habitantes;No disponen de excusado;Total;5.069;2.078;852;1.140;48;38;2.799;192
14 Jalisco;15 000-29 999 habitantes;No especificado;Total;1.905;432;347;82;3;0;48;1.425
14 Jalisco;30 000-49 999 habitantes;Total;Total;291.214;288.721;281.809;4.674;1.293;945;1.641;852
14 Jalisco;30 000-49 999 habitantes;Disponen de excusado;Total;288.918;287.808;281.306;4.288;1.281;933;728;382
14 Jalisco;30 000-49 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;234.911;234.636;231.412;2.061;644;519;0;275
14 Jalisco;30 000-49 999 habitantes;Disponen de excusado;Le echan agua con cubeta;52.027;51.506;48.435;2.027;630;414;449;72
14 Jalisco;30 000-49 999 habitantes;Disponen de excusado;No se le puede echar agua;413;267;75;185;7;0;145;1
14 Jalisco;30 000-49 999 habitantes;Disponen de excusado;No especificado;1.567;1.399;1.384;15;0;0;134;34
14 Jalisco;30 000-49 999 habitantes;No disponen de excusado;Total;1.633;674;286;367;12;9;892;67
14 Jalisco;30 000-49 999 habitantes;No especificado;Total;663;239;217;19;0;3;21;403
14 Jalisco;50 000-99 999 habitantes;Total;Total;567.843;562.581;546.335;14.166;605;1.475;3.568;1.694
14 Jalisco;50 000-99 999 habitantes;Disponen de excusado;Total;563.996;561.380;545.653;13.714;553;1.460;1.965;651
14 Jalisco;50 000-99 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;492.948;492.415;486.402;4.977;318;718;0;533
14 Jalisco;50 000-99 999 habitantes;Disponen de excusado;Le echan agua con cubeta;68.195;66.954;57.765;8.217;231;741;1.169;72
14 Jalisco;50 000-99 999 habitantes;Disponen de excusado;No se le puede echar agua;850;610;126;483;0;1;240;0
14 Jalisco;50 000-99 999 habitantes;Disponen de excusado;No especificado;2.003;1.401;1.360;37;4;0;556;46
14 Jalisco;50 000-99 999 habitantes;No disponen de excusado;Total;2.638;957;442;448;52;15;1.599;82
14 Jalisco;50 000-99 999 habitantes;No especificado;Total;1.209;244;240;4;0;0;4;961
14 Jalisco;100 000-249 999 habitantes;Total;Total;197.430;194.115;178.655;15.283;98;79;1.999;1.316
14 Jalisco;100 000-249 999 habitantes;Disponen de excusado;Total;195.058;193.258;178.028;15.070;85;75;1.467;333
14 Jalisco;100 000-249 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;173.099;172.842;167.050;5.716;22;54;0;257
14 Jalisco;100 000-249 999 habitantes;Disponen de excusado;Le echan agua con cubeta;20.079;18.989;9.956;8.955;57;21;1.060;30
14 Jalisco;100 000-249 999 habitantes;Disponen de excusado;No se le puede echar agua;351;215;42;167;6;0;136;0
14 Jalisco;100 000-249 999 habitantes;Disponen de excusado;No especificado;1.529;1.212;980;232;0;0;271;46
14 Jalisco;100 000-249 999 habitantes;No disponen de excusado;Total;1.257;676;475;184;13;4;528;53
14 Jalisco;100 000-249 999 habitantes;No especificado;Total;1.115;181;152;29;0;0;4;930
14 Jalisco;250 000-499 999 habitantes;Total;Total;401.540;395.708;374.189;18.213;1.543;1.763;4.184;1.648
14 Jalisco;250 000-499 999 habitantes;Disponen de excusado;Total;398.374;394.615;373.560;17.773;1.526;1.756;3.221;538
14 Jalisco;250 000-499 999 habitantes;Disponen de excusado;Tiene descarga directa de agua;301.949;301.588;296.392;3.915;669;612;0;361
