INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por municipio, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 9
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;003 Ahualulco de Mercado;Total;Agua entubada fuera de la vivienda pero dentro del terreno;297;277;248;13;0;16;20;0
14 Jalisco;003 Ahualulco de Mercado;Total;Agua entubada de llave pública (o hidrante);22;20;15;5;0;0;2;0
14 Jalisco;003 Ahualulco de Mercado;Total;Agua entubada que acarrean de otra vivienda;37;31;26;4;0;1;6;0
14 Jalisco;003 Ahualulco de Mercado;Total;Agua de pipa;1;1;0;1;0;0;0;0
14 Jalisco;003 Ahualulco de Mercado;Total;Agua de pozo, río, lago, arroyo u otra;36;27;8;13;1;5;8;1
14 Jalisco;003 Ahualulco de Mercado;Total;No especificado;13;5;5;0;0;0;1;7
14 Jalisco;003 Ahualulco de Mercado;Disponen de energía eléctrica;Total;5.598;5.528;5.387;100;4;37;56;14
14 Jalisco;003 Ahualulco de Mercado;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;5.214;5.175;5.091;65;3;16;26;13
14 Jalisco;003 Ahualulco de Mercado;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;294;275;246;13;0;16;19;0
14 Jalisco;003 Ahualulco de Mercado;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);20;20;15;5;0;0;0;0
14 Jalisco;003 Ahualulco de Mercado;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;32;29;24;4;0;1;3;0
14 Jalisco;003 Ahualulco de Mercado;Disponen de energía eléctrica;Agua de pipa;1;1;0;1;0;0;0;0
14 Jalisco;003 Ahualulco de Mercado;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;31;23;6;12;1;4;7;1
14 Jalisco;003 Ahualulco de Mercado;Disponen de energía eléctrica;No especificado;6;5;5;0;0;0;1;0
14 Jalisco;003 Ahualulco de Mercado;No disponen de energía eléctrica;Total;36;23;19;2;1;1;13;0
14 Jalisco;003 Ahualulco de Mercado;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;21;15;13;1;1;0;6;0
14 Jalisco;003 Ahualulco de Mercado;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;3;2;2;0;0;0;1;0
14 Jalisco;003 Ahualulco de Mercado;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);2;0;0;0;0;0;2;0
14 Jalisco;003 Ahualulco de Mercado;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;5;2;2;0;0;0;3;0
14 Jalisco;003 Ahualulco de Mercado;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;5;4;2;1;0;1;1;0
14 Jalisco;003 Ahualulco de Mercado;No especificado;Total;8;1;1;0;0;0;0;7
