INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por municipio, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 9
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;058 Mascota;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);9;5;0;5;0;0;4;0
14 Jalisco;058 Mascota;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;12;4;0;4;0;0;7;1
14 Jalisco;058 Mascota;Disponen de energía eléctrica;Agua de pipa;1;1;0;0;0;1;0;0
14 Jalisco;058 Mascota;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;20;16;2;14;0;0;4;0
14 Jalisco;058 Mascota;Disponen de energía eléctrica;No especificado;2;2;1;1;0;0;0;0
14 Jalisco;058 Mascota;No disponen de energía eléctrica;Total;133;84;4;60;17;3;49;0
14 Jalisco;058 Mascota;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;80;53;3;44;4;2;27;0
14 Jalisco;058 Mascota;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;17;16;1;3;11;1;1;0
14 Jalisco;058 Mascota;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;5;2;0;2;0;0;3;0
14 Jalisco;058 Mascota;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;31;13;0;11;2;0;18;0
14 Jalisco;058 Mascota;No especificado;Total;4;1;1;0;0;0;0;3
14 Jalisco;058 Mascota;No especificado;Agua entubada dentro de la vivienda;1;1;1;0;0;0;0;0
14 Jalisco;058 Mascota;No especificado;No especificado;3;0;0;0;0;0;0;3
14 Jalisco;059 Mazamitla;Total;Total;3.273;3.093;2.241;701;43;108;161;19
14 Jalisco;059 Mazamitla;Total;Agua entubada dentro de la vivienda;2.627;2.564;2.007;437;34;86;54;9
14 Jalisco;059 Mazamitla;Total;Agua entubada fuera de la vivienda pero dentro del terreno;374;313;158;141;5;9;57;4
14 Jalisco;059 Mazamitla;Total;Agua entubada de llave pública (o hidrante);62;62;36;15;0;11;0;0
14 Jalisco;059 Mazamitla;Total;Agua entubada que acarrean de otra vivienda;43;26;12;11;2;1;16;1
14 Jalisco;059 Mazamitla;Total;Agua de pipa;10;8;3;5;0;0;2;0
14 Jalisco;059 Mazamitla;Total;Agua de pozo, río, lago, arroyo u otra;150;115;22;90;2;1;32;3
14 Jalisco;059 Mazamitla;Total;No especificado;7;5;3;2;0;0;0;2
14 Jalisco;059 Mazamitla;Disponen de energía eléctrica;Total;3.200;3.049;2.227;674;41;107;135;16
14 Jalisco;059 Mazamitla;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;2.605;2.550;2.003;428;34;85;47;8
14 Jalisco;059 Mazamitla;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;363;306;154;139;4;9;53;4
14 Jalisco;059 Mazamitla;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);60;60;35;14;0;11;0;0
14 Jalisco;059 Mazamitla;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;36;21;10;9;1;1;14;1
14 Jalisco;059 Mazamitla;Disponen de energía eléctrica;Agua de pipa;8;7;3;4;0;0;1;0
14 Jalisco;059 Mazamitla;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;124;102;20;79;2;1;20;2
14 Jalisco;059 Mazamitla;Disponen de energía eléctrica;No especificado;4;3;2;1;0;0;0;1
14 Jalisco;059 Mazamitla;No disponen de energía eléctrica;Total;69;41;12;27;2;0;26;2
14 Jalisco;059 Mazamitla;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;20;12;3;9;0;0;7;1
14 Jalisco;059 Mazamitla;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;11;7;4;2;1;0;4;0
14 Jalisco;059 Mazamitla;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);2;2;1;1;0;0;0;0
14 Jalisco;059 Mazamitla;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;7;5;2;2;1;0;2;0
14 Jalisco;059 Mazamitla;No disponen de energía eléctrica;Agua de pipa;2;1;0;1;0;0;1;0
14 Jalisco;059 Mazamitla;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;26;13;2;11;0;0;12;1
14 Jalisco;059 Mazamitla;No disponen de energía eléctrica;No especificado;1;1;0;1;0;0;0;0
14 Jalisco;059 Mazamitla;No especificado;Total;4;3;2;0;0;1;0;1
14 Jalisco;059 Mazamitla;No especificado;Agua entubada dentro de la vivienda;2;2;1;0;0;1;0;0
14 Jalisco;059 Mazamitla;No especificado;No especificado;2;1;1;0;0;0;0;1
14 Jalisco;060 Mexticacán;Total;Total;1.721;1.637;1.193;333;83;28;76;8
14 Jalisco;060 Mexticacán;Total;Agua entubada dentro de la vivienda;1.597;1.556;1.174;281;73;28;36;5
14 Jalisco;060 Mexticacán;Total;Agua entubada fuera de la vivienda pero dentro del terreno;39;31;12;17;2;0;8;0
14 Jalisco;060 Mexticacán;Total;Agua entubada de llave pública (o hidrante);3;3;2;1;0;0;0;0
14 Jalisco;060 Mexticacán;Total;Agua entubada que acarrean de otra vivienda;12;7;3;3;1;0;5;0
14 Jalisco;060 Mexticacán;Total;Agua de pipa;16;11;0;11;0;0;5;0
14 Jalisco;060 Mexticacán;Total;Agua de pozo, río, lago, arroyo u otra;49;29;2;20;7;0;20;0
14 Jalisco;060 Mexticacán;Total;No especificado;5;0;0;0;0;0;2;3
14 Jalisco;060 Mexticacán;Disponen de energía eléctrica;Total;1.691;1.622;1.187;325;82;28;64;5
14 Jalisco;060 Mexticacán;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.586;1.546;1.170;275;73;28;35;5
14 Jalisco;060 Mexticacán;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;37;29;10;17;2;0;8;0
14 Jalisco;060 Mexticacán;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);3;3;2;1;0;0;0;0
14 Jalisco;060 Mexticacán;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;8;6;3;2;1;0;2;0
14 Jalisco;060 Mexticacán;Disponen de energía eléctrica;Agua de pipa;14;10;0;10;0;0;4;0
14 Jalisco;060 Mexticacán;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;42;28;2;20;6;0;14;0
14 Jalisco;060 Mexticacán;Disponen de energía eléctrica;No especificado;1;0;0;0;0;0;1;0
14 Jalisco;060 Mexticacán;No disponen de energía eléctrica;Total;27;15;6;8;1;0;12;0
14 Jalisco;060 Mexticacán;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;11;10;4;6;0;0;1;0
14 Jalisco;060 Mexticacán;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;2;2;2;0;0;0;0;0
14 Jalisco;060 Mexticacán;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;4;1;0;1;0;0;3;0
14 Jalisco;060 Mexticacán;No disponen de energía eléctrica;Agua de pipa;2;1;0;1;0;0;1;0
14 Jalisco;060 Mexticacán;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;7;1;0;0;1;0;6;0
14 Jalisco;060 Mexticacán;No disponen de energía eléctrica;No especificado;1;0;0;0;0;0;1;0
14 Jalisco;060 Mexticacán;No especificado;Total;3;0;0;0;0;0;0;3
14 Jalisco;060 Mexticacán;No especificado;No especificado;3;0;0;0;0;0;0;3
14 Jalisco;061 Mezquitic;Total;Total;3.740;1.229;686;518;23;2;2.443;68
14 Jalisco;061 Mezquitic;Total;Agua entubada dentro de la vivienda;1.401;964;614;332;16;2;425;12
14 Jalisco;061 Mezquitic;Total;Agua entubada fuera de la vivienda pero dentro del terreno;663;128;11;111;6;0;523;12
14 Jalisco;061 Mezquitic;Total;Agua entubada de llave pública (o hidrante);96;64;56;8;0;0;32;0
14 Jalisco;061 Mezquitic;Total;Agua entubada que acarrean de otra vivienda;53;3;1;2;0;0;48;2
14 Jalisco;061 Mezquitic;Total;Agua de pipa;6;0;0;0;0;0;6;0
14 Jalisco;061 Mezquitic;Total;Agua de pozo, río, lago, arroyo u otra;1.482;66;2;63;1;0;1.397;19
14 Jalisco;061 Mezquitic;Total;No especificado;39;4;2;2;0;0;12;23
14 Jalisco;061 Mezquitic;Disponen de energía eléctrica;Total;1.935;1.145;681;445;18;1;764;26
14 Jalisco;061 Mezquitic;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.154;933;610;310;12;1;215;6
14 Jalisco;061 Mezquitic;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;324;106;11;90;5;0;210;8
14 Jalisco;061 Mezquitic;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);75;61;55;6;0;0;14;0
14 Jalisco;061 Mezquitic;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;25;2;1;1;0;0;22;1
14 Jalisco;061 Mezquitic;Disponen de energía eléctrica;Agua de pipa;2;0;0;0;0;0;2;0
14 Jalisco;061 Mezquitic;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;348;40;2;37;1;0;300;8
14 Jalisco;061 Mezquitic;Disponen de energía eléctrica;No especificado;7;3;2;1;0;0;1;3
14 Jalisco;061 Mezquitic;No disponen de energía eléctrica;Total;1.765;80;5;69;5;1;1.660;25
14 Jalisco;061 Mezquitic;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;244;28;4;19;4;1;210;6
14 Jalisco;061 Mezquitic;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;337;22;0;21;1;0;311;4
14 Jalisco;061 Mezquitic;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);20;3;1;2;0;0;17;0
14 Jalisco;061 Mezquitic;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;28;1;0;1;0;0;26;1
14 Jalisco;061 Mezquitic;No disponen de energía eléctrica;Agua de pipa;4;0;0;0;0;0;4;0
14 Jalisco;061 Mezquitic;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;1.120;25;0;25;0;0;1.084;11
14 Jalisco;061 Mezquitic;No disponen de energía eléctrica;No especificado;12;1;0;1;0;0;8;3
14 Jalisco;061 Mezquitic;No especificado;Total;40;4;0;4;0;0;19;17
14 Jalisco;061 Mezquitic;No especificado;Agua entubada dentro de la vivienda;3;3;0;3;0;0;0;0
14 Jalisco;061 Mezquitic;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;2;0;0;0;0;0;2;0
14 Jalisco;061 Mezquitic;No especificado;Agua entubada de llave pública (o hidrante);1;0;0;0;0;0;1;0
14 Jalisco;061 Mezquitic;No especificado;Agua de pozo, río, lago, arroyo u otra;14;1;0;1;0;0;13;0
14 Jalisco;061 Mezquitic;No especificado;No especificado;20;0;0;0;0;0;3;17
14 Jalisco;062 Mixtlán;Total;Total;946;849;650;155;30;14;86;11
14 Jalisco;062 Mixtlán;Total;Agua entubada dentro de la vivienda;846;795;621;132;29;13;45;6
14 Jalisco;062 Mixtlán;Total;Agua entubada fuera de la vivienda pero dentro del terreno;42;21;6;15;0;0;20;1
14 Jalisco;062 Mixtlán;Total;Agua entubada de llave pública (o hidrante);1;0;0;0;0;0;1;0
14 Jalisco;062 Mixtlán;Total;Agua entubada que acarrean de otra vivienda;9;3;1;2;0;0;5;1
14 Jalisco;062 Mixtlán;Total;Agua de pozo, río, lago, arroyo u otra;47;30;22;6;1;1;15;2
14 Jalisco;062 Mixtlán;Total;No especificado;1;0;0;0;0;0;0;1
14 Jalisco;062 Mixtlán;Disponen de energía eléctrica;Total;899;832;648;149;22;13;59;8
14 Jalisco;062 Mixtlán;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;825;783;619;129;22;13;36;6
14 Jalisco;062 Mixtlán;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;33;18;6;12;0;0;14;1
14 Jalisco;062 Mixtlán;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);1;0;0;0;0;0;1;0
14 Jalisco;062 Mixtlán;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;7;3;1;2;0;0;3;1
14 Jalisco;062 Mixtlán;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;33;28;22;6;0;0;5;0
14 Jalisco;062 Mixtlán;No disponen de energía eléctrica;Total;46;17;2;6;8;1;27;2
14 Jalisco;062 Mixtlán;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;21;12;2;3;7;0;9;0
14 Jalisco;062 Mixtlán;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;9;3;0;3;0;0;6;0
14 Jalisco;062 Mixtlán;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;2;0;0;0;0;0;2;0
14 Jalisco;062 Mixtlán;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;14;2;0;0;1;1;10;2
14 Jalisco;062 Mixtlán;No especificado;Total;1;0;0;0;0;0;0;1
14 Jalisco;062 Mixtlán;No especificado;No especificado;1;0;0;0;0;0;0;1
14 Jalisco;063 Ocotlán;Total;Total;22.973;22.558;20.625;1.648;46;239;352;63
14 Jalisco;063 Ocotlán;Total;Agua entubada dentro de la vivienda;19.880;19.791;18.890;773;20;108;65;24
14 Jalisco;063 Ocotlán;Total;Agua entubada fuera de la vivienda pero dentro del terreno;847;792;662;108;11;11;50;5
14 Jalisco;063 Ocotlán;Total;Agua entubada de llave pública (o hidrante);620;600;534;62;2;2;20;0
14 Jalisco;063 Ocotlán;Total;Agua entubada que acarrean de otra vivienda;230;173;92;75;3;3;53;4
14 Jalisco;063 Ocotlán;Total;Agua de pipa;62;42;21;18;0;3;19;1
14 Jalisco;063 Ocotlán;Total;Agua de pozo, río, lago, arroyo u otra;1.287;1.138;405;611;10;112;144;5
14 Jalisco;063 Ocotlán;Total;No especificado;47;22;21;1;0;0;1;24
14 Jalisco;063 Ocotlán;Disponen de energía eléctrica;Total;22.837;22.488;20.599;1.609;46;234;304;45
14 Jalisco;063 Ocotlán;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;19.857;19.772;18.874;770;20;108;61;24
14 Jalisco;063 Ocotlán;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;837;785;657;106;11;11;47;5
14 Jalisco;063 Ocotlán;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);619;599;534;61;2;2;20;0
14 Jalisco;063 Ocotlán;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;209;165;88;71;3;3;40;4
14 Jalisco;063 Ocotlán;Disponen de energía eléctrica;Agua de pipa;58;41;21;17;0;3;16;1
14 Jalisco;063 Ocotlán;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;1.228;1.104;404;583;10;107;119;5
14 Jalisco;063 Ocotlán;Disponen de energía eléctrica;No especificado;29;22;21;1;0;0;1;6
14 Jalisco;063 Ocotlán;No disponen de energía eléctrica;Total;113;66;22;39;0;5;47;0
14 Jalisco;063 Ocotlán;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;19;15;12;3;0;0;4;0
14 Jalisco;063 Ocotlán;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;10;7;5;2;0;0;3;0
14 Jalisco;063 Ocotlán;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);1;1;0;1;0;0;0;0
14 Jalisco;063 Ocotlán;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;21;8;4;4;0;0;13;0
14 Jalisco;063 Ocotlán;No disponen de energía eléctrica;Agua de pipa;4;1;0;1;0;0;3;0
14 Jalisco;063 Ocotlán;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;58;34;1;28;0;5;24;0
14 Jalisco;063 Ocotlán;No especificado;Total;23;4;4;0;0;0;1;18
14 Jalisco;063 Ocotlán;No especificado;Agua entubada dentro de la vivienda;4;4;4;0;0;0;0;0
14 Jalisco;063 Ocotlán;No especificado;Agua de pozo, río, lago, arroyo u otra;1;0;0;0;0;0;1;0
14 Jalisco;063 Ocotlán;No especificado;No especificado;18;0;0;0;0;0;0;18
14 Jalisco;064 Ojuelos de Jalisco;Total;Total;6.707;5.378;4.920;428;22;8;1.260;69
14 Jalisco;064 Ojuelos de Jalisco;Total;Agua entubada dentro de la vivienda;5.522;4.741;4.404;317;15;5;759;22
14 Jalisco;064 Ojuelos de Jalisco;Total;Agua entubada fuera de la vivienda pero dentro del terreno;196;99;80;17;2;0;94;3
14 Jalisco;064 Ojuelos de Jalisco;Total;Agua entubada de llave pública (o hidrante);331;224;211;12;0;1;83;24
14 Jalisco;064 Ojuelos de Jalisco;Total;Agua entubada que acarrean de otra vivienda;169;79;64;11;4;0;86;4
14 Jalisco;064 Ojuelos de Jalisco;Total;Agua de pipa;128;58;12;45;1;0;69;1
14 Jalisco;064 Ojuelos de Jalisco;Total;Agua de pozo, río, lago, arroyo u otra;351;172;144;26;0;2;169;10
14 Jalisco;064 Ojuelos de Jalisco;Total;No especificado;10;5;5;0;0;0;0;5
14 Jalisco;064 Ojuelos de Jalisco;Disponen de energía eléctrica;Total;6.542;5.353;4.907;418;20;8;1.136;53
14 Jalisco;064 Ojuelos de Jalisco;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;5.483;4.734;4.397;317;15;5;727;22
14 Jalisco;064 Ojuelos de Jalisco;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;183;99;80;17;2;0;81;3
14 Jalisco;064 Ojuelos de Jalisco;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);318;219;209;9;0;1;79;20
14 Jalisco;064 Ojuelos de Jalisco;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;143;73;62;9;2;0;66;4
14 Jalisco;064 Ojuelos de Jalisco;Disponen de energía eléctrica;Agua de pipa;105;56;12;43;1;0;49;0
14 Jalisco;064 Ojuelos de Jalisco;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;305;167;142;23;0;2;134;4
14 Jalisco;064 Ojuelos de Jalisco;Disponen de energía eléctrica;No especificado;5;5;5;0;0;0;0;0
14 Jalisco;064 Ojuelos de Jalisco;No disponen de energía eléctrica;Total;155;23;11;10;2;0;121;11
14 Jalisco;064 Ojuelos de Jalisco;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;35;5;5;0;0;0;30;0
14 Jalisco;064 Ojuelos de Jalisco;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;13;0;0;0;0;0;13;0
14 Jalisco;064 Ojuelos de Jalisco;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);13;5;2;3;0;0;4;4
14 Jalisco;064 Ojuelos de Jalisco;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;26;6;2;2;2;0;20;0
14 Jalisco;064 Ojuelos de Jalisco;No disponen de energía eléctrica;Agua de pipa;22;2;0;2;0;0;19;1
14 Jalisco;064 Ojuelos de Jalisco;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;46;5;2;3;0;0;35;6
14 Jalisco;064 Ojuelos de Jalisco;No especificado;Total;10;2;2;0;0;0;3;5
14 Jalisco;064 Ojuelos de Jalisco;No especificado;Agua entubada dentro de la vivienda;4;2;2;0;0;0;2;0
14 Jalisco;064 Ojuelos de Jalisco;No especificado;Agua de pipa;1;0;0;0;0;0;1;0
14 Jalisco;064 Ojuelos de Jalisco;No especificado;No especificado;5;0;0;0;0;0;0;5
14 Jalisco;065 Pihuamo;Total;Total;3.461;3.282;2.461;413;287;121;171;8
14 Jalisco;065 Pihuamo;Total;Agua entubada dentro de la vivienda;2.935;2.884;2.345;272;176;91;47;4
14 Jalisco;065 Pihuamo;Total;Agua entubada fuera de la vivienda pero dentro del terreno;219;199;84;65;32;18;20;0
14 Jalisco;065 Pihuamo;Total;Agua entubada de llave pública (o hidrante);15;13;12;1;0;0;2;0
14 Jalisco;065 Pihuamo;Total;Agua entubada que acarrean de otra vivienda;23;19;14;2;2;1;4;0
14 Jalisco;065 Pihuamo;Total;Agua de pipa;6;4;1;3;0;0;2;0
14 Jalisco;065 Pihuamo;Total;Agua de pozo, río, lago, arroyo u otra;258;162;5;69;77;11;95;1
14 Jalisco;065 Pihuamo;Total;No especificado;5;1;0;1;0;0;1;3
14 Jalisco;065 Pihuamo;Disponen de energía eléctrica;Total;3.327;3.219;2.443;392;268;116;103;5
14 Jalisco;065 Pihuamo;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;2.901;2.855;2.328;266;171;90;42;4
14 Jalisco;065 Pihuamo;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;211;195;84;63;31;17;16;0
14 Jalisco;065 Pihuamo;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);15;13;12;1;0;0;2;0
14 Jalisco;065 Pihuamo;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;21;17;13;2;1;1;4;0
14 Jalisco;065 Pihuamo;Disponen de energía eléctrica;Agua de pipa;2;2;1;1;0;0;0;0
14 Jalisco;065 Pihuamo;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;176;136;5;58;65;8;39;1
14 Jalisco;065 Pihuamo;Disponen de energía eléctrica;No especificado;1;1;0;1;0;0;0;0
14 Jalisco;065 Pihuamo;No disponen de energía eléctrica;Total;131;63;18;21;19;5;68;0
14 Jalisco;065 Pihuamo;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;34;29;17;6;5;1;5;0
14 Jalisco;065 Pihuamo;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;8;4;0;2;1;1;4;0
14 Jalisco;065 Pihuamo;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;2;2;1;0;1;0;0;0
14 Jalisco;065 Pihuamo;No disponen de energía eléctrica;Agua de pipa;4;2;0;2;0;0;2;0
14 Jalisco;065 Pihuamo;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;82;26;0;11;12;3;56;0
14 Jalisco;065 Pihuamo;No disponen de energía eléctrica;No especificado;1;0;0;0;0;0;1;0
14 Jalisco;065 Pihuamo;No especificado;Total;3;0;0;0;0;0;0;3
14 Jalisco;065 Pihuamo;No especificado;No especificado;3;0;0;0;0;0;0;3
14 Jalisco;066 Poncitlán;Total;Total;10.680;10.315;8.540;1.447;12;316;349;16
14 Jalisco;066 Poncitlán;Total;Agua entubada dentro de la vivienda;9.100;8.972;7.900;822;4;246;120;8
14 Jalisco;066 Poncitlán;Total;Agua entubada fuera de la vivienda pero dentro del terreno;935;854;414;419;6;15;78;3
14 Jalisco;066 Poncitlán;Total;Agua entubada de llave pública (o hidrante);134;123;85;29;0;9;11;0
14 Jalisco;066 Poncitlán;Total;Agua entubada que acarrean de otra vivienda;168;109;61;42;0;6;59;0
14 Jalisco;066 Poncitlán;Total;Agua de pipa;86;57;20;37;0;0;29;0
14 Jalisco;066 Poncitlán;Total;Agua de pozo, río, lago, arroyo u otra;249;196;56;98;2;40;52;1
14 Jalisco;066 Poncitlán;Total;No especificado;8;4;4;0;0;0;0;4
14 Jalisco;066 Poncitlán;Disponen de energía eléctrica;Total;10.519;10.196;8.478;1.396;12;310;311;12
14 Jalisco;066 Poncitlán;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;9.025;8.901;7.854;800;4;243;116;8
14 Jalisco;066 Poncitlán;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;905;829;406;404;6;13;73;3
14 Jalisco;066 Poncitlán;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);130;122;85;28;0;9;8;0
14 Jalisco;066 Poncitlán;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;146;99;57;36;0;6;47;0
14 Jalisco;066 Poncitlán;Disponen de energía eléctrica;Agua de pipa;84;57;20;37;0;0;27;0
14 Jalisco;066 Poncitlán;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;225;184;52;91;2;39;40;1
14 Jalisco;066 Poncitlán;Disponen de energía eléctrica;No especificado;4;4;4;0;0;0;0;0
14 Jalisco;066 Poncitlán;No disponen de energía eléctrica;Total;147;109;55;49;0;5;38;0
14 Jalisco;066 Poncitlán;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;68;64;40;22;0;2;4;0
14 Jalisco;066 Poncitlán;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;27;22;7;13;0;2;5;0
14 Jalisco;066 Poncitlán;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);4;1;0;1;0;0;3;0
14 Jalisco;066 Poncitlán;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;22;10;4;6;0;0;12;0
14 Jalisco;066 Poncitlán;No disponen de energía eléctrica;Agua de pipa;2;0;0;0;0;0;2;0
14 Jalisco;066 Poncitlán;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;24;12;4;7;0;1;12;0
14 Jalisco;066 Poncitlán;No especificado;Total;14;10;7;2;0;1;0;4
14 Jalisco;066 Poncitlán;No especificado;Agua entubada dentro de la vivienda;7;7;6;0;0;1;0;0
14 Jalisco;066 Poncitlán;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;3;3;1;2;0;0;0;0
14 Jalisco;066 Poncitlán;No especificado;No especificado;4;0;0;0;0;0;0;4
14 Jalisco;067 Puerto Vallarta;Total;Total;66.569;65.318;59.359;5.844;87;28;690;561
14 Jalisco;067 Puerto Vallarta;Total;Agua entubada dentro de la vivienda;60.036;59.674;56.684;2.917;57;16;217;145
14 Jalisco;067 Puerto Vallarta;Total;Agua entubada fuera de la vivienda pero dentro del terreno;3.456;3.348;2.251;1.088;8;1;88;20
14 Jalisco;067 Puerto Vallarta;Total;Agua entubada de llave pública (o hidrante);515;495;110;381;2;2;17;3
14 Jalisco;067 Puerto Vallarta;Total;Agua entubada que acarrean de otra vivienda;677;557;136;409;11;1;116;4
14 Jalisco;067 Puerto Vallarta;Total;Agua de pipa;648;482;36;441;4;1;163;3
14 Jalisco;067 Puerto Vallarta;Total;Agua de pozo, río, lago, arroyo u otra;726;632;40;581;5;6;82;12
14 Jalisco;067 Puerto Vallarta;Total;No especificado;511;130;102;27;0;1;7;374
14 Jalisco;067 Puerto Vallarta;Disponen de energía eléctrica;Total;66.029;65.081;59.253;5.720;83;25;611;337
14 Jalisco;067 Puerto Vallarta;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;59.938;59.583;56.606;2.905;56;16;211;144
14 Jalisco;067 Puerto Vallarta;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;3.428;3.322;2.240;1.074;7;1;86;20
14 Jalisco;067 Puerto Vallarta;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);505;487;110;373;2;2;16;2
14 Jalisco;067 Puerto Vallarta;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;597;510;131;367;11;1;84;3
14 Jalisco;067 Puerto Vallarta;Disponen de energía eléctrica;Agua de pipa;618;462;36;421;4;1;153;3
